,UserID
0,3826549639
1,3826515259
2,3900551314
3,3900442161
4,3236385909
5,2945840241
6,3826252452
7,3900543502
8,3900527542
9,3900547582
10,3826475114
11,3826520593
12,3900422427
13,3900530776
14,3826390998
15,3900156196
16,3826305678
17,3737386873
18,3900480809
19,3900446476
20,3900457961
21,3826376185
22,3826359852
23,3826470314
24,3900415311
25,3320047261
26,3826457593
27,3900447737
28,3826227260
29,18774450
30,3900443657
31,3826507273
32,3900496618
33,3826430834
34,3826212554
35,3900428729
36,3900476920
37,3900411557
38,3900359199
39,3900359967
40,2418982016
41,3900329235
42,3900374895
43,3900498016
44,3899919741
45,3826478233
46,3900378873
47,3351729033
48,3900001211
49,3826341132
50,3892431437
51,3826400894
52,3900349773
53,3900448120
54,3900421589
55,3826446613
56,3826428193
57,3900411263
58,1000862468
59,3900408347
60,1510704427
61,3900352227
62,3826254912
63,3900380123
64,3825969372
65,3900347895
66,3900310287
67,3900446128
68,3826371080
69,3826426873
70,3900318675
71,3900213256
72,3826334594
73,3900389777
74,3826250178
75,3826330274
76,3826377440
77,3900337041
78,3826361294
79,3826352714
80,3826257198
81,3826255164
82,3826282332
83,3826332854
84,3826338206
85,3900304953
86,3826249692
87,3826350320
88,3826380373
89,3826348274
90,3900427042
91,3900361811
92,3826333940
93,3900295779
94,3900277875
95,3041675407
96,3900397474
97,3900327683
98,3826315874
99,3900328217
100,2698560644
101,3826353253
102,3826230678
103,3900334397
104,3900405634
105,3826205664
106,3900291495
107,3900270401
108,3826329739
109,3895884563
110,3900274695
111,3900391594
112,3900322241
113,3900278421
114,3900369808
115,3826313773
116,3826193778
117,3826303573
118,3900374296
119,3826304893
120,3826251734
121,3900301991
122,3900289997
123,3900267736
124,3826172472
125,3191463992
126,3826249574
127,1126209649
128,3826297873
129,532482498
130,1627896865
131,3900264923
132,3900226521
133,3826277719
134,3900215734
135,1005616742
136,1864880455
137,3900276347
138,3826285813
139,3826153212
140,3826272319
141,3900277073
142,3826166892
143,3826208294
144,3900252161
145,3826152678
146,3900314602
147,3900290356
148,3900262577
149,3900194547
150,3900190641
151,3900308374
152,3900263057
153,3900314248
154,3900245069
155,3826123818
156,3900195339
157,3900311836
158,3826248433
159,3826120524
160,3826189754
161,3900197919
162,3826164860
163,3900179307
164,3826219879
165,3825750074
166,3900112581
167,3826008852
168,3826088352
169,3900284356
170,3900263422
171,3900273448
172,3900145899
173,3900215669
174,3900184577
175,3826127354
176,3779183472
177,3892925153
178,1619616054
179,3900238522
180,3046570669
181,3900246388
182,3826056732
183,3900213148
184,3826148653
185,3826102454
186,3900232888
187,3900221554
188,3900211456
189,390164490
190,3653803274
191,2908798158
192,3826076774
193,3826127113
194,3900094833
195,3826146553
196,3251759146
197,3826101193
198,3826092493
199,3900212008
200,3826076654
201,3900072267
202,3826078334
203,3826104313
204,3825973452
205,3825961272
206,3900123533
207,3462938475
208,3788705968
209,3900073767
210,3900172774
211,3664511358
212,3826079653
213,3826039100
214,3900049461
215,3900033099
216,3900045387
217,3826017014
218,3900061217
219,3826012940
220,3826006274
221,3900135508
222,3900084983
223,3900028545
224,3900022647
225,475892678
226,3351057231
227,3826037293
228,125449775
229,3900075173
230,3900023775
231,3826029313
232,3900143896
233,3900014433
234,3825839052
235,3900097348
236,3249376253
237,3826046473
238,3825889152
239,3899888193
240,3900045269
241,3825968480
242,3900033383
243,3900076336
244,3825943394
245,3900108874
246,3899988501
247,3899994435
248,3825872652
249,3825940934
250,3899981655
251,3825955040
252,3825863472
253,2996807805
254,3900065578
255,3825943526
256,3900055894
257,3899772375
258,3825821952
259,3899935887
260,3900061948
261,3899984417
262,2880206431
263,3825912614
264,3899959511
265,3899974703
266,3825817932
267,3077059364
268,2321874657
269,3825852554
270,3825949159
271,2897350585
272,3825883214
273,3899931027
274,3899590414
275,3662329517
276,3899806042
277,3825886574
278,3226157008
279,3899887455
280,3825875654
281,3899980132
282,1041287190
283,3891385881
284,3739485135
285,3825906073
286,3825781938
287,3369644812
288,3899907759
289,3899959457
290,3899955983
291,3825755052
292,3899913213
293,3825689712
294,3899986378
295,3825768252
296,3825839534
297,3899996422
298,3899972062
299,3899942417
300,3899878587
301,3899870595
302,3825815594
303,3825746958
304,3825860473
305,2243107673
306,3825806780
307,3899990236
308,3899882657
309,3825731712
310,3825817034
311,3899849901
312,3231694148
313,3051537816
314,3899967916
315,3899911162
316,3899952256
317,2619413985
318,3899682917
319,3899958574
320,3899887943
321,3825758780
322,3683252053
323,3899851529
324,3825819379
325,3825739220
326,3825520736
327,3899755227
328,3825752714
329,3899734395
330,3825664758
331,3825680652
332,3825761054
333,3825661692
334,3825783433
