,UserID,location,newyork
0,2937769036.0,None,0
1,1416605270.0,None,0
2,18762998.0,New York City,1
3,234920441.0,NYC,1
4,197066605.0,"Toronto, ON",0
5,2437110084.0,None,0
6,25094098.0,"Baltimore, MD",0
7,1675225622.0,Brooklyn,1
8,872469324.0,The big LV,0
9,93216707.0,"Brooklyn, NY",1
10,81439800.0,Boston,0
11,2564598122.0,"brooklyn, ny",1
12,2925152803.0,New York City,1
13,3125951380.0,None,0
14,1401490046.0,Brooklyn,1
15,239374742.0,None,0
16,2301732101.0,London(Edmonton-Enfield),0
17,1106723496.0,"Portugal, Porto",0
18,332172751.0,Newcastle Upon Tyne,0
19,523687477.0,None,0
20,94616586.0,New York,1
21,15739576.0,None,0
22,340185393.0,Malang,0
23,3071460825.0,"Center City Philadelphia, PA",0
24,2793391678.0,None,0
25,27782774.0,"New York, NY",1
26,70116975.0,London & NYC,1
27,992361.0,"NYC, Denver",1
28,20174834.0,None,0
29,408787887.0,Tr@pping Inna Boydenn,0
30,3127604037.0,None,0
31,2995538440.0,None,0
32,131413215.0,"Harlem, NY ",1
33,1729796803.0,London,0
34,199283951.0,"1805 5 street east, St. Paul",0
35,355697993.0,None,0
36,27035922.0,"Los Angeles, CA",0
37,305281689.0,New York ,1
38,16975868.0,"Do or Die Bed-Stuy, Brooklyn",1
39,94392708.0,New York,1
40,351763467.0,Brooklyn,1
41,1334708491.0,"Brooklyn, NY",1
42,845798388.0,Fort Lauderdale,0
43,9973572.0,Saint Louis & Chicago,0
44,3123521229.0,kensington Brooklyn,1
45,3124237347.0,Canada,0
46,315722525.0,None,0
47,110536668.0,NYC,1
48,3057733699.0,None,0
49,23258354.0,None,0
50,2774162376.0,None,0
51,34515750.0,"Brooklyn, NY",1
52,2991585351.0,None,0
53,16279179.0,"Boise, ID",0
54,47297850.0,"Lower East Side, NYC",1
55,3024102015.0,None,0
56,16810635.0,"Brooklyn, NY, USA",1
57,3039840159.0,nyc,1
58,2737529668.0,LA x NYC,1
59,246970612.0,montral & nyc,1
60,466098978.0,"New York, NY",1
61,3112558844.0,None,0
62,96564060.0,"Seattle, WA",0
63,3074056769.0,None,0
64,252343688.0,None,0
65,485017074.0,"Brooklyn, New York",1
66,331452025.0,#NYC,1
67,2391318013.0,"Georgia, USA",0
68,571903137.0,None,0
69,424348798.0,new york city,1
70,993805512.0,New York City,1
71,3122527192.0,None,0
72,18490595.0,Los Angeles,0
73,2603697800.0,"UK, Spain, USA",0
74,21115247.0,None,0
75,94458495.0,BK,0
76,2951399632.0,None,0
77,770575544.0,"Bushwick, Brooklyn",1
78,5412122.0,"T: 28.204974,-82.765149",0
79,22728507.0,NwhyC,0
80,87046814.0,None,0
81,520671857.0,None,0
82,351880627.0,None,0
83,14451903.0,"Brooklyn, NY",1
84,2834115136.0,"Brooklyn, NY ",1
85,2845309651.0,None,0
86,66267404.0,"New York, NY",1
87,2611711033.0,None,0
88,143801688.0,"Miami, Florida",0
89,147881355.0,Manchester,0
90,1244171107.0,None,0
91,3109236738.0,None,0
92,1676639562.0,New York City,1
93,3072865665.0,Mount Sinai,1
94,3120494476.0,"Queens, NY",1
95,1297300519.0,"New York, NY",1
96,3098051981.0,None,0
97,2603074298.0,None,0
98,143519529.0,Colombia,0
99,193091734.0,Brooklyn via Miami,1
100,158189493.0,"505 West 28th St. NY,NY 10001",1
101,1279467516.0,"Queens, NY",1
102,1128606061.0,"New York, New York",1
103,250140667.0,BROOKLYN,1
104,2454131916.0,"Brooklyn, NY",1
105,3102820252.0,"Brooklyn, NY",1
106,36757426.0,NY/The Moon,1
107,22453291.0,"Brooklyn, New York",1
108,38184363.0,"East Village, NYC ",1
109,3118901367.0,San Francisco  New York City ,1
110,33708955.0,None,0
111,558944840.0,NY,1
112,1686354306.0,Brooklyn,1
113,234657586.0,"New York, NY",1
114,3119064940.0,None,0
115,1446135517.0,brooklyn ,1
116,1514028481.0,triState,0
117,144939517.0,Berlin,0
118,2500119324.0,"Brookyn, NY",1
119,2943409636.0,"Brooklyn, NY",1
120,2784479297.0,Rio de Janeiro,0
121,1205663694.0,None,0
122,37514641.0,NY,1
123,20149913.0,"Bronx, New York",1
124,862014205.0,"Brisbane, Australia",0
125,55588912.0,New York,1
126,2913452295.0,Planet Earth,0
127,3116691646.0,"Queens, NY",1
128,14458027.0,"New York, NY",1
129,3111529750.0,"Henderson, NV USA",0
130,454453315.0,"Queens, NY",1
131,17770166.0,"Brooklyn, NY",1
132,883156243.0,"New York, NY",1
133,285027374.0,Madrid (Spain) - Worldwide,0
134,2842691710.0,Brooklyn,1
135,395803018.0,"New York, NY",1
136,48834437.0,New York & Las Vegas,1
137,2942830493.0,Bushwick // Brooklyn,1
138,173297064.0,"Wall, new jersey",0
139,2348006451.0,None,0
140,401839035.0,New York,1
141,541359333.0,None,0
142,2964567611.0,New York City,1
143,3085680605.0,gem city,0
144,2482271239.0,"49 Wyckoff Ave. Brooklyn, NY ",1
145,3115199560.0,None,0
146,3115084349.0,None,0
147,3115017837.0,None,0
148,33739930.0,NY | LA | LDN,1
149,16144221.0,NY  VA,1
150,3105280806.0,None,0
151,3114702267.0,NYC,1
152,3068388129.0,None,0
153,2729562338.0,None,0
154,2897105784.0,None,0
155,203539282.0,Denmark,0
156,2836504943.0,"New Orleans, LA",0
157,97545700.0,Global  www.urbanmilan.com,0
158,59891685.0,"New York, NY",1
159,49427339.0,brooklyn,1
160,2384197723.0,"New York, NY",1
161,461432500.0,None,0
162,2820729619.0,None,0
